state,companies
Alabama ,3 
Alaska ,1 
Arizona ,16 
Arkansas ,2 
California ,150 
Colorado ,19 
Connecticut ,8 
Delaware ,2 
District of Columbia ,2 
Florida ,18 
Georgia ,7 
Hawaii ,4 
Idaho ,1 
Illinois ,20 
Indiana ,12 
Iowa ,15 
Kansas ,5 
Kentucky ,11 
Louisiana ,5 
Maine ,3 
Maryland ,12 
Massachusetts ,42 
Michigan ,18 
Minnesota ,13 
Mississippi ,1 
Missouri ,15 
Montana ,15 
Nebraska ,8 
Nevada ,5 
New Hampshire ,2 
New Jersey ,15 
New Mexico ,7 
New York ,37 
North Carolina ,23 
North Dakota ,0 
Ohio ,24 
Oklahoma ,3 
Oregon ,13 
Pennsylvania ,22 
Rhode Island ,0 
South Carolina ,4 
South Dakota ,2 
Tennessee ,8 
Texas ,33 
Utah ,13 
Vermont ,2 
Virginia ,21 
Washington ,16 
West Virginia ,0 
Wisconsin ,14 
Wyoming ,3 
non-US ,18 
